,Time,Low,High,Open,Close,Volume
0,02-17-2023 19:00:00,0.3979,0.4185,0.4034,0.4069,33858517.63
1,02-16-2023 19:00:00,0.3855,0.4099,0.3874,0.4035,55766526.66
2,02-15-2023 19:00:00,0.3864,0.4221,0.4203,0.3874,87297280.69
3,02-14-2023 19:00:00,0.382,0.4207,0.387,0.4204,96156573.66
4,02-13-2023 19:00:00,0.3548,0.3936,0.3595,0.387,97625668.94
5,02-12-2023 19:00:00,0.3454,0.3658,0.3642,0.3596,72681806.41
6,02-11-2023 19:00:00,0.3596,0.3738,0.3687,0.3641,47752930.89
7,02-10-2023 19:00:00,0.3569,0.3703,0.3581,0.3686,50564715.4
8,02-09-2023 19:00:00,0.3539,0.3657,0.3622,0.3582,76188468.0
9,02-08-2023 19:00:00,0.3542,0.3958,0.3943,0.3621,99613682.79
10,02-07-2023 19:00:00,0.3855,0.404,0.399,0.3942,54769048.92
11,02-06-2023 19:00:00,0.3815,0.3999,0.3824,0.3991,57615559.02
12,02-05-2023 19:00:00,0.3796,0.4034,0.3926,0.3824,63572773.26
13,02-04-2023 19:00:00,0.382,0.402,0.3995,0.3926,59152147.87
14,02-03-2023 19:00:00,0.3975,0.4056,0.4037,0.3995,36660548.82
15,02-02-2023 19:00:00,0.3944,0.4072,0.3983,0.4037,61895529.3
16,02-01-2023 19:00:00,0.3923,0.4137,0.3969,0.3981,97031795.11
17,01-31-2023 19:00:00,0.3714,0.4018,0.3901,0.397,81562495.84
18,01-30-2023 19:00:00,0.3684,0.4,0.3727,0.3902,71461220.47
19,01-29-2023 19:00:00,0.3655,0.3983,0.3978,0.3725,81100225.13
20,01-28-2023 19:00:00,0.3768,0.3991,0.3819,0.3975,59661306.95
21,01-27-2023 19:00:00,0.3775,0.3983,0.39,0.3819,62996292.57
22,01-26-2023 19:00:00,0.3678,0.3911,0.3797,0.3899,63443244.73
23,01-25-2023 19:00:00,0.3712,0.3891,0.3734,0.3796,80314976.08
24,01-24-2023 19:00:00,0.3471,0.3797,0.3587,0.3733,64084934.06
25,01-23-2023 19:00:00,0.355,0.383,0.375,0.3589,55934770.37
26,01-22-2023 19:00:00,0.3686,0.3837,0.3765,0.375,76055031.39
27,01-21-2023 19:00:00,0.363,0.3871,0.3688,0.3765,92499127.81
28,01-20-2023 19:00:00,0.3574,0.3809,0.3652,0.3688,101511856.04
29,01-19-2023 19:00:00,0.3336,0.3657,0.3381,0.3651,76429750.12
30,01-18-2023 19:00:00,0.3257,0.3434,0.3266,0.3381,41398900.82
31,01-17-2023 19:00:00,0.3232,0.3555,0.3455,0.3266,92925231.95
32,01-16-2023 19:00:00,0.343,0.3576,0.3505,0.3457,49962929.88
33,01-15-2023 19:00:00,0.3378,0.364,0.3507,0.3505,75625282.65
34,01-14-2023 19:00:00,0.3387,0.354,0.3525,0.3508,62006290.48
35,01-13-2023 19:00:00,0.3319,0.37,0.3455,0.3526,143089561.06
36,01-12-2023 19:00:00,0.3237,0.3511,0.3296,0.3455,81058835.75
37,01-11-2023 19:00:00,0.3156,0.335,0.3231,0.3295,118882701.62
38,01-10-2023 19:00:00,0.3076,0.3235,0.3223,0.3231,78260220.84
39,01-09-2023 19:00:00,0.3067,0.3251,0.3167,0.3224,110490892.33
40,01-08-2023 19:00:00,0.2956,0.3462,0.2974,0.3167,200700673.9
41,01-07-2023 19:00:00,0.2743,0.299,0.2768,0.2974,88623342.1
42,01-06-2023 19:00:00,0.2723,0.2805,0.2786,0.2768,37151555.81
43,01-05-2023 19:00:00,0.2671,0.2798,0.2691,0.2786,80345060.1
44,01-04-2023 19:00:00,0.2632,0.2712,0.2679,0.2692,38557890.47
45,01-03-2023 19:00:00,0.2518,0.2705,0.2527,0.2679,82755299.49
46,01-02-2023 19:00:00,0.2501,0.2553,0.2538,0.2527,41866222.45
47,01-01-2023 19:00:00,0.2465,0.2564,0.2499,0.2537,50527869.06
48,12-31-2022 19:00:00,0.2434,0.25,0.2456,0.2499,41827853.23
49,12-30-2022 19:00:00,0.2439,0.2519,0.2455,0.2457,58978495.61
50,12-29-2022 19:00:00,0.2391,0.2461,0.2438,0.2455,76414750.93
51,12-28-2022 19:00:00,0.24,0.2483,0.2482,0.2438,81276797.02
52,12-27-2022 19:00:00,0.2466,0.2609,0.2603,0.2482,68362964.02
53,12-26-2022 19:00:00,0.256,0.2664,0.2654,0.2603,41219733.01
54,12-25-2022 19:00:00,0.2576,0.2656,0.2592,0.2653,45072658.63
55,12-24-2022 19:00:00,0.2545,0.2599,0.2592,0.2592,33707597.5
56,12-23-2022 19:00:00,0.2566,0.2604,0.2593,0.2591,26159699.18
57,12-22-2022 19:00:00,0.2554,0.264,0.2566,0.2594,54372913.03
58,12-21-2022 19:00:00,0.2467,0.2569,0.2533,0.2567,47948336.17
59,12-20-2022 19:00:00,0.2479,0.2593,0.2587,0.2534,63497866.05
60,12-19-2022 19:00:00,0.2513,0.2622,0.2529,0.2587,53476323.01
61,12-18-2022 19:00:00,0.2499,0.2695,0.266,0.2529,70961744.41
62,12-17-2022 19:00:00,0.263,0.2719,0.2677,0.2661,54386944.64
63,12-16-2022 19:00:00,0.2589,0.268,0.2636,0.2677,103986351.01
64,12-15-2022 19:00:00,0.2588,0.3013,0.3003,0.2637,97203608.05
65,12-14-2022 19:00:00,0.2967,0.3086,0.308,0.3003,43966227.63
66,12-13-2022 19:00:00,0.3052,0.3156,0.314,0.308,68412137.66
67,12-12-2022 19:00:00,0.2995,0.32,0.307,0.3141,72314315.67
68,12-11-2022 19:00:00,0.3007,0.308,0.3074,0.307,41872738.59
69,12-10-2022 19:00:00,0.3053,0.315,0.3125,0.3075,25944029.7
70,12-09-2022 19:00:00,0.3106,0.3149,0.3119,0.3126,17622329.21
71,12-08-2022 19:00:00,0.3086,0.3166,0.3144,0.3119,34901098.97
72,12-07-2022 19:00:00,0.3073,0.3158,0.3104,0.3145,35882618.5
73,12-06-2022 19:00:00,0.307,0.3198,0.3182,0.3104,45138065.49
74,12-05-2022 19:00:00,0.3137,0.321,0.3195,0.3183,23786553.89
75,12-04-2022 19:00:00,0.3163,0.329,0.3222,0.3195,32197585.07
76,12-03-2022 19:00:00,0.3183,0.3242,0.3197,0.3224,29688601.9
77,12-02-2022 19:00:00,0.3163,0.3263,0.3192,0.3196,33611865.0
78,12-01-2022 19:00:00,0.3106,0.32,0.3144,0.3191,36508123.98
79,11-30-2022 19:00:00,0.3125,0.32,0.3187,0.3145,40802423.27
80,11-29-2022 19:00:00,0.3083,0.3209,0.309,0.3189,80337028.06
81,11-28-2022 19:00:00,0.3041,0.3126,0.3064,0.309,38509662.74
82,11-27-2022 19:00:00,0.3,0.3138,0.3124,0.3064,47791205.46
83,11-26-2022 19:00:00,0.3113,0.3194,0.3136,0.3125,23635100.51
84,11-25-2022 19:00:00,0.3108,0.3226,0.3144,0.3136,29717971.69
