,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2023-02-17,157.02,161.11,156.63,160.39,160.39,10587181,10587181,3.37,2.14622,159.38,"February 17, 23",0.0214622
1,2023-02-16,159.07,159.65,157.92,158.24,158.24,11155791,11154700,-0.83,-0.522,158.60333,"February 16, 23",-0.00522
2,2023-02-15,161.9499969,161.9799957,159.2899933,159.3699951,159.3699951,12633300,12633300,-2.58,-1.593,160.21333,"February 15, 23",-0.01593
3,2023-02-14,162.7400055,162.9700012,161.7599945,162.0399933,162.0399933,6316000,6316000,-0.70001,-0.43,162.25666,"February 14, 23",-0.0043
4,2023-02-13,161.3300018,162.8200073,161.1499939,162.75,162.75,6414700,6414700,1.42,0.88,162.24,"February 13, 23",0.0088
5,2023-02-10,161.7700043,162.7899933,161.3500061,162.1499939,162.1499939,7019700,7019700,0.37999,0.235,162.09666,"February 10, 23",0.00235
6,2023-02-09,163.6300049,164.8000031,161.0700073,161.3999939,161.3999939,7949500,7949500,-2.23001,-1.363,162.42333,"February 09, 23",-0.01363
7,2023-02-08,163.3000031,164.5599976,162.8999939,163.6100006,163.6100006,6054700,6054700,0.31,0.19,163.69,"February 08, 23",0.0019
8,2023-02-07,161.6000061,163.8800049,161.4199982,163.3999939,163.3999939,7310800,7310800,1.79999,1.114,162.9,"February 07, 23",0.01114
9,2023-02-06,164.5500031,164.8500061,163.1000061,163.3600006,163.3600006,7021000,7021000,-1.19,-0.723,163.77,"February 06, 23",-0.00723
10,2023-02-03,166.0299988,166.3399963,163.8899994,164.6100006,164.6100006,6867900,6867900,-1.42,-0.855,164.94667,"February 03, 23",-0.00855
11,2023-02-02,163.0,166.2200012,162.8200073,165.5399933,165.5399933,10099000,10099000,2.53999,1.558,164.86,"February 02, 23",0.01558
12,2023-02-01,162.9900055,165.9799957,162.3999939,164.9199982,164.9199982,9865300,9865300,1.92999,1.184,164.43333,"February 01, 23",0.01184
13,2023-01-31,161.6999969,163.4299927,161.0500031,163.4199982,163.4199982,11612500,11612500,1.72,1.064,162.63333,"January 31, 23",0.01064
14,2023-01-30,167.9299927,168.5399933,161.0800018,162.0,162.0,23259100,23259100,-5.92999,-3.531,163.87333,"January 30, 23",-0.03531
15,2023-01-27,168.5399933,168.8699951,167.7700043,168.2299957,168.2299957,6054500,6054500,-0.31,-0.184,168.29,"January 27, 23",-0.00184
16,2023-01-26,169.5500031,169.9100037,168.6499939,168.8899994,168.8899994,6946100,6946100,-0.66,-0.389,169.15,"January 26, 23",-0.00389
17,2023-01-25,167.1699982,169.5099945,167.0800018,169.5099945,169.5099945,7099800,7099800,2.34,1.4,168.7,"January 25, 23",0.014
18,2023-01-24,175.0,175.0,166.0099945,168.3099976,168.3099976,10541800,10541800,-6.69,-3.823,169.77333,"January 24, 23",-0.03823
19,2023-01-23,169.1000061,169.6300049,167.9499969,168.3099976,168.3099976,8425400,8425400,-0.79001,-0.467,168.63,"January 23, 23",-0.00467
20,2023-01-20,170.1000061,170.1100006,167.4799957,168.7400055,168.7400055,8606400,8606400,-1.36,-0.8,168.77667,"January 20, 23",-0.008
21,2023-01-19,169.0299988,171.2799988,168.7100067,169.5299988,169.5299988,6939500,6939500,0.5,0.296,169.84,"January 19, 23",0.00296
22,2023-01-18,171.6499939,172.0,169.7100067,169.7599945,169.7599945,7047800,7047800,-1.89,-1.101,170.49,"January 18, 23",-0.01101
23,2023-01-17,174.0,174.5800018,172.0899963,172.3600006,172.3600006,6053300,6053300,-1.64,-0.943,173.01,"January 17, 23",-0.00943
