,Time,Low,High,Open,Close,Volume
0,02-17-2023 19:00:00,7.503,8.259,7.649,8.131,3138510.24
1,02-16-2023 19:00:00,6.97,7.712,7.014,7.649,2908574.87
2,02-15-2023 19:00:00,7.01,7.493,7.284,7.015,3577013.98
3,02-14-2023 19:00:00,6.726,7.308,6.813,7.283,2406952.71
4,02-13-2023 19:00:00,6.448,6.832,6.681,6.812,2276888.94
5,02-12-2023 19:00:00,6.43,6.849,6.81,6.68,2429721.96
6,02-11-2023 19:00:00,6.694,7.089,7.004,6.812,1141833.14
7,02-10-2023 19:00:00,6.854,7.035,6.884,7.005,704809.04
8,02-09-2023 19:00:00,6.79,7.121,6.987,6.893,2873617.76
9,02-08-2023 19:00:00,6.835,7.811,7.139,6.983,7357597.05
10,02-07-2023 19:00:00,6.96,7.3,7.196,7.138,1898049.29
11,02-06-2023 19:00:00,6.823,7.214,6.835,7.196,2084220.26
12,02-05-2023 19:00:00,6.766,7.062,6.988,6.838,1354609.4
13,02-04-2023 19:00:00,6.863,7.254,7.235,6.988,1576042.58
14,02-03-2023 19:00:00,7.129,7.364,7.29,7.24,1034458.33
15,02-02-2023 19:00:00,7.014,7.348,7.101,7.29,1936936.47
16,02-01-2023 19:00:00,7.04,7.49,7.212,7.098,2745552.56
17,01-31-2023 19:00:00,6.669,7.273,6.952,7.21,2604438.46
18,01-30-2023 19:00:00,6.85,7.081,6.917,6.954,1847819.29
19,01-29-2023 19:00:00,6.76,7.441,7.375,6.917,2317254.46
20,01-28-2023 19:00:00,7.146,7.512,7.206,7.374,2317745.34
21,01-27-2023 19:00:00,7.126,7.512,7.384,7.206,1691174.67
22,01-26-2023 19:00:00,6.927,7.503,7.177,7.384,3644156.66
23,01-25-2023 19:00:00,6.826,7.307,6.96,7.169,3379640.43
24,01-24-2023 19:00:00,6.514,7.1,6.659,6.96,3473698.21
25,01-23-2023 19:00:00,6.552,7.199,7.014,6.66,2732069.55
26,01-22-2023 19:00:00,6.839,7.234,6.986,7.015,3138733.69
27,01-21-2023 19:00:00,6.783,7.269,6.855,6.986,3538226.01
28,01-20-2023 19:00:00,6.77,7.11,6.943,6.853,3368036.27
29,01-19-2023 19:00:00,6.415,6.976,6.513,6.944,2216606.11
30,01-18-2023 19:00:00,6.316,6.546,6.33,6.508,1876799.14
31,01-17-2023 19:00:00,6.27,6.986,6.808,6.335,4503954.41
32,01-16-2023 19:00:00,6.551,6.99,6.671,6.805,3498392.7
33,01-15-2023 19:00:00,6.414,6.948,6.698,6.67,4975898.54
34,01-14-2023 19:00:00,6.601,6.931,6.86,6.699,4019908.25
35,01-13-2023 19:00:00,6.45,7.107,6.605,6.859,7126427.6
36,01-12-2023 19:00:00,6.261,6.617,6.382,6.605,3292514.92
37,01-11-2023 19:00:00,6.05,6.408,6.282,6.383,4164801.36
38,01-10-2023 19:00:00,6.01,6.303,6.167,6.281,2367401.78
39,01-09-2023 19:00:00,5.986,6.302,6.064,6.168,2407984.95
40,01-08-2023 19:00:00,5.932,6.254,5.961,6.063,4551702.74
41,01-07-2023 19:00:00,5.753,5.973,5.828,5.961,1587858.56
42,01-06-2023 19:00:00,5.69,5.841,5.711,5.828,1135509.28
43,01-05-2023 19:00:00,5.521,5.731,5.661,5.713,1599665.64
44,01-04-2023 19:00:00,5.607,5.816,5.808,5.659,1442853.7
45,01-03-2023 19:00:00,5.609,5.855,5.624,5.807,2155096.38
46,01-02-2023 19:00:00,5.57,5.719,5.687,5.623,1490157.93
47,01-01-2023 19:00:00,5.544,5.758,5.63,5.689,1807006.23
