,Time,Low,High,Open,Close,Volume
0,02-17-2023 19:00:00,98.94,101.92,100.14,100.19,101960.34669529
1,02-16-2023 19:00:00,98.22,101.71,98.53,100.16,148495.44374481
2,02-15-2023 19:00:00,98.48,105.69,102.88,98.58,227980.94897383
3,02-14-2023 19:00:00,95.04,103.26,95.87,102.86,210628.80630723
4,02-13-2023 19:00:00,90.38,95.99,91.14,95.86,173014.37336862
5,02-12-2023 19:00:00,88.25,94.99,92.49,91.13,259846.62818485
6,02-11-2023 19:00:00,90.98,94.58,94.3,92.49,105821.74505823
7,02-10-2023 19:00:00,92.65,94.82,93.29,94.31,106180.59259905
8,02-09-2023 19:00:00,91.09,94.18,92.11,93.29,207388.5689126
9,02-08-2023 19:00:00,90.02,99.49,99.23,92.07,323636.51117322
10,02-07-2023 19:00:00,96.84,102.38,100.84,99.21,219305.45885527
11,02-06-2023 19:00:00,95.88,101.55,95.9,100.82,201441.47381366
12,02-05-2023 19:00:00,94.78,97.95,96.69,95.93,134048.0825617
13,02-04-2023 19:00:00,94.83,98.88,98.49,96.7,129238.03328475
14,02-03-2023 19:00:00,98.23,101.38,99.89,98.52,104004.6101439
15,02-02-2023 19:00:00,97.48,100.82,98.64,99.87,155026.95194587
16,02-01-2023 19:00:00,97.94,102.27,100.33,98.6,195173.62181158
17,01-31-2023 19:00:00,93.72,102.65,94.12,100.33,349057.96377188
18,01-30-2023 19:00:00,91.35,96.27,91.4,94.13,253963.61454968
19,01-29-2023 19:00:00,88.44,96.15,94.87,91.38,220542.44759024
20,01-28-2023 19:00:00,89.7,97.77,89.7,94.85,306807.19927523
21,01-27-2023 19:00:00,87.02,89.98,88.91,89.7,94391.23137959
22,01-26-2023 19:00:00,85.86,89.24,87.53,88.93,140008.72581198
23,01-25-2023 19:00:00,86.88,89.97,89.44,87.54,112409.06899916
24,01-24-2023 19:00:00,85.56,91.98,87.24,89.41,156572.13464263
25,01-23-2023 19:00:00,86.06,91.47,89.96,87.24,147628.64767634
26,01-22-2023 19:00:00,87.51,93.16,87.58,89.94,180084.77597607
27,01-21-2023 19:00:00,86.52,90.04,87.93,87.6,166888.8680576
28,01-20-2023 19:00:00,87.64,92.09,90.29,87.93,250824.97329149
29,01-19-2023 19:00:00,82.99,91.22,84.23,90.29,214981.84984433
30,01-18-2023 19:00:00,81.67,84.59,82.62,84.23,176943.31884125
31,01-17-2023 19:00:00,82.16,88.42,87.02,82.64,304276.22180158
32,01-16-2023 19:00:00,84.56,89.35,85.91,87.0,272285.06483997
33,01-15-2023 19:00:00,83.91,89.21,87.37,85.94,309438.04519345
34,01-14-2023 19:00:00,85.36,88.75,87.84,87.37,237925.27290441
35,01-13-2023 19:00:00,85.99,91.14,86.27,87.85,567454.45410682
36,01-12-2023 19:00:00,83.6,87.99,86.08,86.26,259314.8148205
37,01-11-2023 19:00:00,80.75,87.88,84.08,86.1,337396.40138026
38,01-10-2023 19:00:00,79.91,84.97,80.86,84.07,273778.84637634
39,01-09-2023 19:00:00,79.45,82.83,81.6,80.86,286296.22287785
40,01-08-2023 19:00:00,78.09,83.57,78.63,81.59,415104.27751227
41,01-07-2023 19:00:00,75.09,78.76,76.36,78.6,190557.57508301
42,01-06-2023 19:00:00,75.45,76.81,75.9,76.36,141112.76058653
43,01-05-2023 19:00:00,72.45,76.53,74.2,75.89,372998.7110588
44,01-04-2023 19:00:00,73.59,76.25,75.4,74.23,252094.71802425
45,01-03-2023 19:00:00,74.28,77.95,75.52,75.41,348784.39346113
46,01-02-2023 19:00:00,73.65,76.39,74.71,75.51,249484.30801721
47,01-01-2023 19:00:00,70.03,77.97,70.88,74.71,309409.36199751
48,12-31-2022 19:00:00,68.88,71.47,70.1,70.89,149695.29304401
49,12-30-2022 19:00:00,67.57,71.0,67.91,70.09,178318.91141621
50,12-29-2022 19:00:00,66.03,68.63,66.62,67.93,214064.33274956
51,12-28-2022 19:00:00,65.53,67.25,66.28,66.65,187329.52146616
52,12-27-2022 19:00:00,65.65,69.45,68.66,66.3,328846.54954901
53,12-26-2022 19:00:00,67.75,71.16,70.77,68.66,192670.71743416
54,12-25-2022 19:00:00,68.59,71.6,69.19,70.76,198396.54958871
55,12-24-2022 19:00:00,65.31,69.69,65.75,69.16,166377.09894521
56,12-23-2022 19:00:00,65.02,66.04,65.76,65.76,80049.63315163
57,12-22-2022 19:00:00,64.96,66.69,66.17,65.73,159889.57092986
58,12-21-2022 19:00:00,64.25,66.69,65.39,66.18,198436.5122956
59,12-20-2022 19:00:00,64.62,66.82,65.57,65.39,218155.50735583
60,12-19-2022 19:00:00,63.1,66.9,63.34,65.58,333270.94801202
61,12-18-2022 19:00:00,61.0,65.05,64.42,63.36,346868.8923833
62,12-17-2022 19:00:00,63.05,65.94,64.91,64.43,218058.69981039
63,12-16-2022 19:00:00,62.72,67.71,66.24,64.91,319643.27775526
64,12-15-2022 19:00:00,65.0,73.56,72.43,66.26,475373.93288577
65,12-14-2022 19:00:00,71.76,75.51,75.34,72.44,245191.06587731
66,12-13-2022 19:00:00,74.18,79.09,77.37,75.37,285441.24941827
67,12-12-2022 19:00:00,74.38,79.83,76.23,77.38,339307.42801961
68,12-11-2022 19:00:00,73.52,76.71,76.5,76.23,225110.8050415
69,12-10-2022 19:00:00,76.3,78.43,76.35,76.51,134260.86677448
70,12-09-2022 19:00:00,75.64,77.42,76.3,76.37,142318.82044013
71,12-08-2022 19:00:00,75.83,78.8,78.25,76.32,184869.75974951
72,12-07-2022 19:00:00,74.48,78.72,76.92,78.29,329104.6383285
73,12-06-2022 19:00:00,75.56,80.38,79.91,76.91,315738.14604651
74,12-05-2022 19:00:00,77.68,81.78,80.21,79.88,246954.57971747
75,12-04-2022 19:00:00,76.8,84.97,77.15,80.21,394843.67475095
76,12-03-2022 19:00:00,75.78,77.52,76.43,77.13,131387.7260973
77,12-02-2022 19:00:00,75.46,78.13,77.95,76.48,125212.31422755
78,12-01-2022 19:00:00,75.39,78.13,77.58,77.94,189905.64585478
79,11-30-2022 19:00:00,76.29,80.62,79.2,77.59,285345.49342386
80,11-29-2022 19:00:00,75.42,80.7,75.78,79.23,308676.70824879
81,11-28-2022 19:00:00,73.39,77.89,73.92,75.77,270415.34755532
82,11-27-2022 19:00:00,70.5,75.3,74.86,73.91,420960.81272676
83,11-26-2022 19:00:00,74.14,79.2,76.45,74.88,235193.01118282
84,11-25-2022 19:00:00,73.86,79.6,74.06,76.43,288588.00389192
85,11-24-2022 19:00:00,73.2,79.81,78.61,74.04,357596.83710922
86,11-23-2022 19:00:00,74.98,79.4,78.9,78.6,435568.52115938
87,11-22-2022 19:00:00,69.5,83.43,70.54,78.9,721641.07823604
88,11-21-2022 19:00:00,61.0,71.24,61.23,70.55,474529.17648644
89,11-20-2022 19:00:00,59.11,63.44,61.99,61.24,341997.09376651
90,11-19-2022 19:00:00,60.32,64.8,63.9,61.99,196092.90620255
