,Time,Low,High,Open,Close,Volume
0,02-14-2023 19:00:00,21.46,23.99,21.84,23.87,1887734.758
1,02-13-2023 19:00:00,20.68,22.4,20.8,21.84,2121794.069
2,02-12-2023 19:00:00,19.76,21.61,21.51,20.8,1888641.862
3,02-11-2023 19:00:00,20.63,22.53,20.82,21.49,1287936.818
4,02-10-2023 19:00:00,20.11,20.93,20.11,20.83,751725.124
5,02-09-2023 19:00:00,19.71,21.23,20.49,20.11,1727086.404
6,02-08-2023 19:00:00,19.99,23.35,23.22,20.48,2128922.411
7,02-07-2023 19:00:00,22.8,24.2,23.83,23.23,1190976.851
8,02-06-2023 19:00:00,22.54,23.97,22.65,23.84,1554485.214
9,02-05-2023 19:00:00,22.5,23.74,23.47,22.65,1086129.31
10,02-04-2023 19:00:00,23.03,24.48,24.33,23.48,1244154.212
11,02-03-2023 19:00:00,24.18,24.95,24.69,24.34,602899.251
12,02-02-2023 19:00:00,24.05,25.31,24.33,24.69,2025301.094
13,02-01-2023 19:00:00,24.04,26.15,25.0,24.32,3151936.046
14,01-31-2023 19:00:00,22.49,25.21,23.92,25.0,3264118.901
15,01-30-2023 19:00:00,23.48,24.46,23.96,23.93,1703248.434
16,01-29-2023 19:00:00,23.29,26.33,26.07,23.96,3260422.376
17,01-28-2023 19:00:00,23.72,26.77,24.01,26.07,2914776.665
18,01-27-2023 19:00:00,23.72,25.21,24.42,24.01,1343086.172
19,01-26-2023 19:00:00,23.32,24.96,24.35,24.44,2571143.469
20,01-25-2023 19:00:00,23.77,25.23,24.53,24.35,2212282.462
21,01-24-2023 19:00:00,22.21,25.43,22.76,24.53,3807162.525
22,01-23-2023 19:00:00,22.36,25.23,24.34,22.77,2659931.339
23,01-22-2023 19:00:00,23.71,24.93,24.23,24.34,3372343.385
24,01-21-2023 19:00:00,23.49,25.44,24.56,24.22,4099364.09
25,01-20-2023 19:00:00,24.32,26.47,25.5,24.56,6225647.975
26,01-19-2023 19:00:00,20.93,25.83,21.39,25.51,5211914.697
27,01-18-2023 19:00:00,20.41,21.88,20.77,21.39,3145864.668
28,01-17-2023 19:00:00,20.22,23.64,22.86,20.78,5296878.792
29,01-16-2023 19:00:00,22.7,23.98,23.58,22.86,3157413.968
30,01-15-2023 19:00:00,22.25,25.0,22.9,23.59,6351359.383
31,01-14-2023 19:00:00,21.97,25.0,24.26,22.88,5806747.641
32,01-13-2023 19:00:00,18.21,24.75,18.3,24.25,13699190.694
33,01-12-2023 19:00:00,16.3,18.63,16.59,18.3,5382618.488
34,01-11-2023 19:00:00,15.57,17.0,16.37,16.6,4903089.036
35,01-10-2023 19:00:00,15.28,16.61,16.2,16.36,3789589.067
36,01-09-2023 19:00:00,15.57,16.73,16.25,16.21,5500824.158
37,01-08-2023 19:00:00,14.27,17.56,14.45,16.25,12215215.147
38,01-07-2023 19:00:00,12.85,14.89,13.09,14.47,3623814.468
39,01-06-2023 19:00:00,13.01,13.51,13.5,13.1,1381567.828
40,01-05-2023 19:00:00,12.68,13.6,13.42,13.5,3748066.142
41,01-04-2023 19:00:00,12.94,13.87,13.41,13.43,3743729.074
42,01-03-2023 19:00:00,12.81,14.25,13.38,13.42,8093174.994
43,01-02-2023 19:00:00,11.0,13.91,11.28,13.39,8002676.452
44,01-01-2023 19:00:00,9.79,12.0,9.98,11.29,5627741.8
45,12-31-2022 19:00:00,9.68,10.08,9.96,9.99,2293379.845
46,12-30-2022 19:00:00,9.66,10.2,9.91,9.97,3172985.413
47,12-29-2022 19:00:00,9.03,10.27,9.64,9.92,10872675.109
48,12-28-2022 19:00:00,8.0,10.89,9.77,9.64,8907754.307
49,12-27-2022 19:00:00,9.41,11.12,11.1,9.76,6626516.939
50,12-26-2022 19:00:00,10.71,11.45,11.34,11.09,2051343.981
51,12-25-2022 19:00:00,11.06,11.49,11.39,11.33,1299684.337
52,12-24-2022 19:00:00,11.23,11.55,11.45,11.39,813306.064
53,12-23-2022 19:00:00,11.1,11.79,11.78,11.45,2335821.784
54,12-22-2022 19:00:00,11.71,12.11,11.8,11.78,1472492.254
55,12-21-2022 19:00:00,11.67,12.19,12.14,11.8,1943961.095
56,12-20-2022 19:00:00,11.9,12.29,12.26,12.14,1642451.607
57,12-19-2022 19:00:00,11.83,12.48,11.93,12.26,2075643.815
58,12-18-2022 19:00:00,11.67,12.59,12.37,11.94,2585715.1
59,12-17-2022 19:00:00,12.27,12.61,12.51,12.37,1215770.911
60,12-16-2022 19:00:00,11.93,12.56,12.25,12.51,2470704.722
61,12-15-2022 19:00:00,11.98,14.17,14.04,12.24,3676007.161
62,12-14-2022 19:00:00,13.86,14.53,14.13,14.05,1934946.066
63,12-13-2022 19:00:00,13.79,14.96,13.89,14.12,3185411.065
64,12-12-2022 19:00:00,12.78,14.16,13.33,13.89,2034265.984
65,12-11-2022 19:00:00,12.81,13.49,13.42,13.33,1674051.897
66,12-10-2022 19:00:00,13.38,13.8,13.57,13.42,626288.943
67,12-09-2022 19:00:00,13.54,13.73,13.58,13.57,425161.933
68,12-08-2022 19:00:00,13.49,14.02,13.68,13.58,1041201.688
69,12-07-2022 19:00:00,13.27,13.78,13.5,13.69,908877.189
70,12-06-2022 19:00:00,13.42,14.33,14.3,13.5,1380959.193
71,12-05-2022 19:00:00,13.81,14.39,13.82,14.29,1587523.246
72,12-04-2022 19:00:00,13.58,14.17,13.71,13.82,1461229.847
73,12-03-2022 19:00:00,13.27,13.75,13.29,13.71,666882.26
74,12-02-2022 19:00:00,13.22,13.77,13.71,13.3,674142.321
75,12-01-2022 19:00:00,13.33,13.83,13.52,13.72,1175125.874
76,11-30-2022 19:00:00,13.4,14.19,14.18,13.52,1438355.755
77,11-29-2022 19:00:00,13.22,14.33,13.34,14.17,2567266.208
78,11-28-2022 19:00:00,13.14,13.95,13.32,13.35,1738806.564
79,11-27-2022 19:00:00,12.78,14.17,14.11,13.33,3382198.938
80,11-26-2022 19:00:00,14.04,14.44,14.17,14.11,1543338.098
81,11-25-2022 19:00:00,13.95,14.96,14.03,14.17,1767390.441
82,11-24-2022 19:00:00,13.89,14.6,14.59,14.02,1974948.284
83,11-23-2022 19:00:00,13.84,14.94,14.32,14.59,3153495.582
84,11-22-2022 19:00:00,12.38,14.5,12.43,14.32,4841570.821
