,Time,Low,High,Open,Close,Volume
0,02-17-2023 19:00:00,45.19,47.03,45.19,46.51,49047.2155879
1,02-16-2023 19:00:00,43.26,45.86,43.56,45.19,72734.21280807
2,02-15-2023 19:00:00,43.21,47.07,46.2,43.56,82920.75875629
3,02-14-2023 19:00:00,43.0,46.49,43.61,46.2,80847.59435292
4,02-13-2023 19:00:00,41.99,44.11,43.51,43.62,68171.75187343
5,02-12-2023 19:00:00,42.25,46.75,46.09,43.56,41919.20179855
6,02-11-2023 19:00:00,44.4,48.44,45.58,46.1,114880.69738138
7,02-10-2023 19:00:00,43.3,46.85,43.53,45.56,45359.77521933
8,02-09-2023 19:00:00,42.38,44.62,42.82,43.48,42588.14780752
9,02-08-2023 19:00:00,41.81,45.58,45.31,42.83,68170.02425607
10,02-07-2023 19:00:00,44.54,47.12,46.88,45.23,61154.34575173
11,02-06-2023 19:00:00,43.25,47.04,43.28,46.87,67997.68558642
12,02-05-2023 19:00:00,42.79,44.77,44.2,43.29,28601.07626535
13,02-04-2023 19:00:00,43.51,46.65,46.51,44.21,46754.76793704
14,02-03-2023 19:00:00,46.12,47.4,47.03,46.52,44028.94926068
15,02-02-2023 19:00:00,45.38,47.57,45.87,46.97,49968.35475217
16,02-01-2023 19:00:00,45.3,48.39,47.11,45.86,77861.65524865
17,01-31-2023 19:00:00,43.94,47.62,45.08,47.11,48633.36024076
18,01-30-2023 19:00:00,44.11,45.83,44.53,45.11,40006.03372224
19,01-29-2023 19:00:00,43.65,47.31,47.15,44.54,45368.57639877
20,01-28-2023 19:00:00,44.98,47.95,45.27,47.12,56457.87220271
21,01-27-2023 19:00:00,44.57,46.94,46.51,45.33,29186.26895971
22,01-26-2023 19:00:00,45.37,47.06,46.79,46.56,47487.77130102
23,01-25-2023 19:00:00,44.48,46.96,45.45,46.74,42299.60615216
24,01-24-2023 19:00:00,43.65,46.45,44.49,45.38,41992.56153195
25,01-23-2023 19:00:00,43.8,48.29,46.97,44.49,45309.77179857
26,01-22-2023 19:00:00,46.34,48.44,47.33,46.85,60781.38092297
27,01-21-2023 19:00:00,46.28,48.97,48.02,47.33,47178.80901001
28,01-20-2023 19:00:00,47.25,50.18,48.07,47.96,60945.11626759
29,01-19-2023 19:00:00,44.12,48.67,44.47,48.05,59927.26114621
30,01-18-2023 19:00:00,43.0,46.35,43.0,44.47,48354.14515077
31,01-17-2023 19:00:00,41.1,45.56,44.53,43.0,39229.49813113
32,01-16-2023 19:00:00,41.77,48.62,42.47,44.6,79270.67225687
33,01-15-2023 19:00:00,41.4,45.88,44.72,42.46,124978.27917399
34,01-14-2023 19:00:00,44.2,46.98,46.77,44.77,90341.97909383
35,01-13-2023 19:00:00,44.2,48.59,45.46,46.79,42282.51890637
36,01-12-2023 19:00:00,43.84,45.91,45.48,45.41,23217.5788936
37,01-11-2023 19:00:00,42.97,46.05,44.21,45.39,35159.78559505
38,01-10-2023 19:00:00,42.54,44.54,43.96,44.19,27818.71546898
39,01-09-2023 19:00:00,42.14,44.22,43.17,44.04,17126.33424315
40,01-08-2023 19:00:00,42.57,44.75,42.8,43.11,19470.26536105
41,01-07-2023 19:00:00,41.02,42.84,41.56,42.77,10954.90483775
42,01-06-2023 19:00:00,40.79,42.78,41.37,41.53,20839.60247851
43,01-05-2023 19:00:00,38.73,41.65,39.78,41.4,25377.4573281
44,01-04-2023 19:00:00,39.42,41.11,40.71,39.78,14395.87699288
45,01-03-2023 19:00:00,39.9,41.55,40.06,40.69,26511.57718602
46,01-02-2023 19:00:00,39.38,40.58,39.54,40.04,16361.38496557
47,01-01-2023 19:00:00,36.47,40.17,37.28,39.57,22848.21812754
48,12-31-2022 19:00:00,36.5,37.44,37.24,37.26,13183.32485247
49,12-30-2022 19:00:00,37.2,38.45,38.03,37.23,21620.79018763
50,12-29-2022 19:00:00,36.92,38.16,37.96,38.03,29612.70760125
51,12-28-2022 19:00:00,37.23,38.36,37.48,37.97,18975.73431758
52,12-27-2022 19:00:00,37.0,38.99,38.84,37.47,35630.69057071
53,12-26-2022 19:00:00,37.86,40.47,40.32,38.82,11505.35253631
54,12-25-2022 19:00:00,39.5,40.49,40.02,40.28,21044.47380504
55,12-24-2022 19:00:00,39.35,40.4,39.79,40.02,14257.48474702
56,12-23-2022 19:00:00,38.97,41.11,39.38,39.77,43838.8333532
57,12-22-2022 19:00:00,38.32,40.24,39.31,39.37,47814.28258315
58,12-21-2022 19:00:00,38.65,41.69,41.42,39.34,67609.16321152
59,12-20-2022 19:00:00,40.9,42.85,42.1,41.36,79015.2322303
60,12-19-2022 19:00:00,41.55,42.96,42.06,42.12,17329.98226146
61,12-18-2022 19:00:00,41.5,45.65,43.46,42.14,31819.17465541
62,12-17-2022 19:00:00,42.55,43.96,43.02,43.45,9333.1799863
63,12-16-2022 19:00:00,39.92,43.16,40.98,43.05,12805.02086477
64,12-15-2022 19:00:00,40.15,46.12,45.81,40.96,15458.64934063
65,12-14-2022 19:00:00,45.67,47.64,46.31,45.92,25516.61178396
66,12-13-2022 19:00:00,46.22,47.65,46.23,46.32,22724.94313636
67,12-12-2022 19:00:00,45.22,47.67,46.01,46.25,23524.73911549
68,12-11-2022 19:00:00,43.6,46.62,44.8,45.98,15257.86688591
69,12-10-2022 19:00:00,44.85,46.08,45.52,44.86,10757.48832409
70,12-09-2022 19:00:00,45.39,46.26,45.71,45.5,7721.23237039
71,12-08-2022 19:00:00,44.74,46.07,45.01,45.71,12145.09769692
72,12-07-2022 19:00:00,43.38,45.15,43.73,45.01,8800.69162376
73,12-06-2022 19:00:00,43.36,46.4,46.23,43.7,20393.32930706
74,12-05-2022 19:00:00,45.15,46.69,46.45,46.15,22406.50153152
75,12-04-2022 19:00:00,45.21,47.14,45.87,46.43,20075.51402202
76,12-03-2022 19:00:00,44.82,46.11,45.48,45.85,13055.43615216
77,12-02-2022 19:00:00,45.08,46.77,46.09,45.51,13860.96431061
78,12-01-2022 19:00:00,44.33,46.74,44.94,46.12,16476.4985089
79,11-30-2022 19:00:00,42.77,45.51,43.39,44.92,35688.70473562
80,11-29-2022 19:00:00,40.11,44.0,40.11,43.41,24849.8195334
81,11-28-2022 19:00:00,39.18,40.77,39.57,40.16,9291.2773326
82,11-27-2022 19:00:00,38.5,40.97,40.55,39.54,16068.30868644
83,11-26-2022 19:00:00,40.43,42.23,41.29,40.54,13399.01020584
84,11-25-2022 19:00:00,41.06,42.54,41.43,41.29,10025.27561833
85,11-24-2022 19:00:00,41.19,43.8,43.8,41.4,24349.36209647
86,11-23-2022 19:00:00,42.23,43.8,43.15,43.79,20113.67120621
87,11-22-2022 19:00:00,39.49,44.85,39.9,43.21,44854.28839769
88,11-21-2022 19:00:00,37.04,39.89,37.49,39.89,9709.48859276
89,11-20-2022 19:00:00,36.92,38.72,38.04,37.55,21589.71377637
90,11-19-2022 19:00:00,37.83,41.14,39.77,37.99,11671.98939267
91,11-18-2022 19:00:00,38.2,39.78,39.09,39.76,6868.12566805
92,11-17-2022 19:00:00,38.68,40.24,39.66,39.11,12037.06646494
93,11-16-2022 19:00:00,38.49,40.43,38.97,39.63,18743.86337899
94,11-15-2022 19:00:00,38.55,41.25,40.76,38.94,28220.94778503
95,11-14-2022 19:00:00,40.13,41.94,40.53,40.76,25484.28097181
96,11-13-2022 19:00:00,38.17,41.95,40.43,40.55,49812.77385029
97,11-12-2022 19:00:00,38.67,41.32,39.97,40.5,23397.67625522
98,11-11-2022 19:00:00,36.59,40.63,39.4,39.96,18149.90752184
99,11-10-2022 19:00:00,37.36,39.91,39.15,39.47,17401.08374268
100,11-09-2022 19:00:00,34.13,40.22,34.83,39.14,57653.05348692
101,11-08-2022 19:00:00,33.2,42.74,42.23,34.98,72215.68832144
102,11-07-2022 19:00:00,36.93,51.8,51.16,42.18,53745.10838381
103,11-06-2022 19:00:00,49.82,54.0,50.29,51.18,31401.01948111
104,11-05-2022 20:00:00,50.16,53.91,53.59,50.26,12516.94160056
105,11-04-2022 20:00:00,52.76,56.91,53.8,53.62,20659.1210794
106,11-03-2022 20:00:00,50.08,55.17,50.36,53.75,28957.74649847
107,11-02-2022 20:00:00,49.85,52.1,50.27,50.34,10757.02809233
108,11-01-2022 20:00:00,49.42,52.57,50.2,50.25,22418.59915589
109,10-31-2022 20:00:00,49.97,53.19,52.54,50.18,10889.46575644
110,10-30-2022 20:00:00,51.91,53.96,53.65,52.54,16452.80194695
111,10-29-2022 20:00:00,52.94,55.74,54.33,53.66,17771.41632805
112,10-28-2022 20:00:00,53.6,55.46,53.72,54.26,13035.07493338
113,10-27-2022 20:00:00,52.07,54.27,52.75,53.7,9223.58104132
114,10-26-2022 20:00:00,52.6,56.53,55.08,52.76,15421.06997054
115,10-25-2022 20:00:00,53.13,55.83,53.28,55.11,19310.91955736
116,10-24-2022 20:00:00,51.74,54.11,52.04,53.24,19695.56632462
117,10-23-2022 20:00:00,51.16,53.3,53.12,52.0,20072.15823435
118,10-22-2022 20:00:00,51.53,53.15,52.4,53.1,27405.07160376
119,10-21-2022 20:00:00,51.47,53.05,52.3,52.4,20056.5667771
120,10-20-2022 20:00:00,49.85,52.65,51.86,52.23,14017.19208315
121,10-19-2022 20:00:00,50.11,52.8,50.59,51.9,15631.02723516
122,10-18-2022 20:00:00,50.32,52.83,52.61,50.66,17452.13992928
123,10-17-2022 20:00:00,51.08,53.26,52.86,52.54,22122.05894233
124,10-16-2022 20:00:00,51.28,53.49,51.86,52.85,29676.61740438
125,10-15-2022 20:00:00,50.8,52.9,50.91,51.86,17021.94102437
126,10-14-2022 20:00:00,49.56,51.66,50.02,50.92,9432.08701621
127,10-13-2022 20:00:00,49.44,52.4,50.9,49.98,16547.83145403
128,10-12-2022 20:00:00,47.5,51.99,51.75,50.93,41517.53191571
129,10-11-2022 20:00:00,51.04,52.43,51.6,51.72,10476.03911843
130,10-10-2022 20:00:00,51.19,52.91,52.51,51.59,18623.35976624
131,10-09-2022 20:00:00,52.3,55.37,54.83,52.55,13541.36786925
132,10-08-2022 20:00:00,53.87,55.17,54.37,54.8,7565.38509472
133,10-07-2022 20:00:00,53.97,55.42,54.67,54.42,5136.81049878
134,10-06-2022 20:00:00,54.09,55.65,55.15,54.67,9033.23056685
135,10-05-2022 20:00:00,55.07,57.4,56.68,55.12,25065.93766604
136,10-04-2022 20:00:00,56.16,58.11,56.78,56.64,21960.82166934
137,10-03-2022 20:00:00,55.73,57.22,55.92,56.74,14811.84017187
138,10-02-2022 20:00:00,52.96,57.01,53.5,55.81,22536.93209911
139,10-01-2022 20:00:00,53.48,55.65,55.25,53.59,5642.21784738
140,09-30-2022 20:00:00,55.2,57.3,55.68,55.25,14691.38357302
141,09-29-2022 20:00:00,55.61,57.13,56.68,55.66,18238.66661363
142,09-28-2022 20:00:00,54.54,56.84,55.5,56.71,11278.05435641
143,09-27-2022 20:00:00,53.43,57.41,57.0,55.5,27790.78197366
144,09-26-2022 20:00:00,56.17,61.51,59.02,57.07,31009.96309026
145,09-25-2022 20:00:00,55.04,59.54,56.18,58.95,28409.3305439
146,09-24-2022 20:00:00,55.11,57.13,55.56,56.19,15101.36787624
147,09-23-2022 20:00:00,55.33,58.3,56.1,55.56,18231.34528306
148,09-22-2022 20:00:00,54.31,58.65,56.81,56.03,24587.48820238
149,09-21-2022 20:00:00,53.31,57.1,53.6,56.76,22069.68867049
150,09-20-2022 20:00:00,52.15,57.58,53.36,53.48,34523.85467842
151,09-19-2022 20:00:00,53.25,55.87,55.39,53.44,10406.70402619
152,09-18-2022 20:00:00,51.86,55.6,53.32,55.3,16461.33414434
153,09-17-2022 20:00:00,52.0,58.73,58.73,53.39,13440.28862971
154,09-16-2022 20:00:00,56.75,58.81,56.82,58.8,7367.60692126
155,09-15-2022 20:00:00,55.75,58.84,58.26,56.82,19249.74528097
156,09-14-2022 20:00:00,58.01,62.14,61.95,58.25,17477.75102138
157,09-13-2022 20:00:00,58.65,62.26,58.81,61.89,7152.18931042
158,09-12-2022 20:00:00,58.56,64.05,62.87,58.87,29393.03485399
159,09-11-2022 20:00:00,61.8,66.42,64.26,62.88,17091.3861129
160,09-10-2022 20:00:00,63.19,66.01,65.33,64.27,30361.07198448
161,09-09-2022 20:00:00,64.28,66.18,66.07,65.33,15873.66961555
162,09-08-2022 20:00:00,60.93,66.89,61.11,65.97,18896.80505367
163,09-07-2022 20:00:00,58.15,61.58,59.34,61.14,11594.40812278
164,09-06-2022 20:00:00,56.97,59.97,58.05,59.34,16427.74682322
165,09-05-2022 20:00:00,57.71,66.2,63.53,58.03,37380.68498463
166,09-04-2022 20:00:00,62.12,64.43,64.0,63.53,14290.2335415
167,09-03-2022 20:00:00,62.09,64.3,62.74,63.96,15849.82432155
168,09-02-2022 20:00:00,59.95,62.82,60.47,62.71,14129.46436691
169,09-01-2022 20:00:00,58.04,61.84,58.96,60.36,18146.33598396
170,08-31-2022 20:00:00,56.79,60.28,59.76,58.98,34282.65314411
171,08-30-2022 20:00:00,59.5,62.05,59.96,59.79,28318.47691021
172,08-29-2022 20:00:00,59.68,64.52,63.83,59.94,20952.99884283
173,08-28-2022 20:00:00,60.1,64.1,61.15,63.78,10576.56950928
174,08-27-2022 20:00:00,60.75,62.92,61.38,61.17,20017.49536399
175,08-26-2022 20:00:00,59.85,62.16,60.93,61.36,8055.30997363
176,08-25-2022 20:00:00,60.28,68.11,67.7,60.79,31701.7411549
177,08-24-2022 20:00:00,66.84,69.92,67.64,67.78,13546.5906069
178,08-23-2022 20:00:00,64.71,69.7,66.21,67.73,33720.0698937
179,08-22-2022 20:00:00,62.78,66.85,65.05,66.42,16107.04180307
180,08-21-2022 20:00:00,60.68,65.21,64.62,65.09,20881.6667452
181,08-20-2022 20:00:00,63.0,65.99,63.0,64.62,16774.96804126
182,08-19-2022 20:00:00,61.36,64.64,62.18,62.92,17837.22154733
183,08-18-2022 20:00:00,61.47,70.54,70.15,62.23,44736.82328003
184,08-17-2022 20:00:00,69.87,76.76,74.32,70.14,29661.44417309
185,08-16-2022 20:00:00,71.62,77.89,76.06,74.31,25973.35979084
186,08-15-2022 20:00:00,72.33,76.79,73.75,76.02,15299.76793053
187,08-14-2022 20:00:00,71.85,75.6,73.74,73.72,10787.1569178
188,08-13-2022 20:00:00,72.72,77.72,76.22,73.76,17526.96270987
